serial #,market code,vessel ID,landing year,fbus ID,reported catch lbs,unit price,gear code,origin code,port code,land date - month,land date - day,fish_lic
Z239755,752,44449,1995,31276,701,0,18,850,745,4,25,L11410
Z239756,752,41181,1995,31276,1174,0,18,850,745,4,26,L55206
Z239757,752,42558,1995,31276,998,0,18,850,745,4,26,L07278
Z239758,752,42558,1995,31276,970,0,18,850,745,4,26,L25696
Z239759,752,37484,1995,31276,1576,0,18,850,745,4,26,L07173
Z239760,752,44449,1995,31276,939,0,18,850,745,4,26,L11411
Z239761,752,44449,1995,31276,1298,0,18,850,745,4,26,L11410
Z239762,752,42006,1995,31276,1359,0,18,852,745,4,26,L18101
Z239763,752,43486,1995,31276,798,0,18,850,745,4,26,L02941
Z239764,752,43486,1995,31276,797,0,18,850,745,4,26,L26701
Z239765,752,21682,1995,31276,1169,0,18,850,745,4,26,L07175
Z239766,752,32267,1995,31276,1184,0,18,850,745,4,26,L11200
Z239767,752,32267,1995,31276,939,0,18,850,745,4,26,L10114
Z239768,752,32267,1995,31276,956,0,18,850,745,4,26,L00026
Z239769,752,40768,1995,31276,1081,0,18,850,745,4,26,L13142
Z239770,752,40768,1995,31276,1081,0,18,850,745,4,26,L50717
Z239771,752,44434,1995,31276,191,0,18,850,745,4,26,L07227
Z239772,752,41181,1995,31276,1307,0,18,850,745,4,27,L55206
Z239773,752,37484,1995,31276,1923,0,18,850,745,4,27,L07173
Z239774,752,44449,1995,31276,1126,0,18,850,745,4,27,L11411
Z239775,752,44449,1995,31276,1486,0,18,850,745,4,27,L11410
Z239776,752,43730,1995,31276,1373,0,18,712,608,4,25,L07193
Z239777,752,43730,1995,31276,918,0,18,712,608,4,25,L01717
Z239778,752,42558,1995,31276,978,0,18,850,745,4,27,L07278
Z239779,752,42558,1995,31276,675,0,18,852,745,4,27,L25696
Z239780,752,40768,1995,31276,1022,0,18,850,745,4,27,L13142
Z239781,752,40768,1995,31276,1022,0,18,850,745,4,27,L50717
Z239782,752,42558,1995,31276,355,0,18,850,745,4,27,L07278
Z239783,752,42558,1995,31276,438,0,18,850,745,4,27,L25696
Z239784,752,44449,1995,31276,680,0,18,850,745,4,27,L11411
Z239785,752,44449,1995,31276,724,0,18,850,745,4,27,L11410
Z239786,752,37484,1995,31276,1469,0,18,850,745,4,27,L07173
Z239787,752,41181,1995,31276,1085,0,18,850,745,4,27,L55206
Z239788,752,40768,1995,31276,927,0,18,850,745,4,27,L13142
Z239789,752,40768,1995,31276,926,0,18,850,745,4,27,L50717
Z239790,752,32267,1995,31276,1191,1,18,850,745,5,2,L11200
Z239791,752,32267,1995,31276,961,1,18,850,745,5,2,L00026
Z239792,752,21682,1995,31276,515,1,18,850,745,5,3,L07175
Z239793,752,32267,1995,31276,1152,1,18,850,745,5,3,L11200
Z239794,752,32267,1995,31276,1018,1,18,850,745,5,3,L00026
Z239795,752,32267,1995,31276,816,1,18,850,745,5,3,L10114
Z239796,752,21682,1995,31276,966,1,18,850,745,5,4,L07175
Z239797,752,32267,1995,31276,797,1,18,850,745,5,4,L11200
Z239798,752,32267,1995,31276,751,1,18,850,745,5,4,L00026
Z239799,752,32267,1995,31276,723,1,18,1034,745,5,4,L10114
Z239800,752,21682,1995,31276,514,1,18,850,745,5,4,L07175
Z239801,752,40060,1995,31276,510,0,18,720,745,1,19,L66955
Z239802,752,32267,1995,31276,1160,0,18,813,613,4,4,L11200
Z239803,752,32267,1995,31276,1440,0,18,813,613,4,4,L10114
Z239804,752,32267,1995,31276,1070,0,18,813,613,4,4,L00026
Z239805,752,43730,1995,31276,2001,0,18,711,608,4,12,L07193
Z239806,752,32267,1995,31276,560,0,18,813,613,4,12,L00026
Z239807,752,32267,1995,31276,950,0,18,813,613,4,12,L11200
Z239808,752,32267,1995,31276,1270,0,18,813,613,4,12,L10114
Z239809,752,43730,1995,31276,1906,0,18,711,608,4,12,L01717
Z239810,752,44420,1995,71207,1256,0,18,814,608,4,12,L24009
Z239811,752,44420,1995,71207,1255,0.56,18,814,608,4,12,L68485
Z239812,752,44420,1995,71207,1255,0,18,814,608,4,12,L06932
Z239813,752,43730,1995,31276,1030,0,18,711,608,4,13,L07193
Z239814,752,43730,1995,31276,912,0,18,711,608,4,13,L01717
Z239815,752,32267,1995,31276,730,0,18,813,613,4,13,L00026
Z239816,752,32267,1995,31276,600,0,18,813,613,4,13,L11200
Z239817,752,32267,1995,31276,900,0,18,813,613,4,13,L10114
Z239818,752,35686,1995,31276,897,0,18,850,745,4,25,L21488
Z239819,752,32267,1995,31276,653,0,18,850,745,4,25,L11200
Z239591,752,35540,1995,7261,600,1.5,18,709,608,1,28,L23335
Z239592,752,41326,1995,7261,1732,1.5,18,711,608,1,29,L34274
Z239594,752,41326,1995,7261,1732,1.5,18,711,608,1,25,L13154
Z239595,752,35540,1995,7261,720,1.5,18,709,608,1,29,L03434
Z239596,752,24765,1995,7261,1070,1.5,18,765,608,1,30,L27326
Z239597,752,41326,1995,7261,860,1.5,18,711,608,1,30,L34274
Z239598,752,40693,1995,7261,944,1,18,708,608,1,30,L68574
Z239599,752,41326,1995,7261,1781,1.37,18,711,608,2,1,L34274
Z239600,752,41326,1995,7261,1781,1.37,18,711,608,2,1,L13154
Z239601,752,40195,1995,7261,397,2.36,18,686,611,1,2,L03071
Z239603,752,44355,1995,7261,1990,1.1,18,711,745,1,19,L76381
Z239604,752,39892,1995,7261,712,1.19,18,690,611,1,28,L28347
Z239605,752,40195,1995,7261,900,1.38,18,710,611,1,28,L03071
Z239606,752,24801,1995,7261,1197,0.24,18,687,611,1,28,L25459
Z239607,752,31399,1995,7261,1719,1.22,18,690,611,1,28,L25493
Z239608,752,31399,1995,7261,611,1.22,18,690,611,1,28,L67085
Z239609,752,42367,1995,7261,2018,1.2,18,690,611,1,28,L18311
Z239610,752,35785,1995,7261,310,1,18,687,611,1,31,L48746
Z239611,752,40205,1995,7261,2281,1.27,18,690,611,2,1,L01668
Z239612,752,33230,1995,7261,1142,1.18,18,690,611,2,1,L28718
Z239613,752,30744,1995,7261,1298,1,18,690,611,2,1,L07181
Z239614,752,30744,1995,7261,400,1,18,690,611,2,1,L07181
Z239615,752,24765,1995,7261,1020,1.5,18,765,608,2,2,L27326
Z239616,752,35540,1995,7261,545,1.3,18,709,608,2,7,L03434
Z239617,752,24801,1995,7261,1095,1,18,687,611,2,11,L25459
Z239618,752,40205,1995,7261,81,1.1,18,687,611,2,11,L01668
Z239619,752,33784,1995,7261,342,7.21,18,850,745,2,12,L03083
Z239620,752,41133,1995,7261,527,1.34,18,655,611,2,13,L09556
Z239621,752,40546,1995,7261,710,1.31,18,690,611,2,13,L25494
Z239623,752,41133,1995,7261,488,1.08,18,687,611,2,16,L09556
Z239624,752,41133,1995,7261,488,1.08,18,687,611,2,16,L53780
Z239626,752,35540,1995,7261,810,1.3,18,709,608,2,6,L03434
Z239627,752,24765,1995,7261,1520,1.4,18,765,608,2,10,L27326
Z239628,752,41326,1995,7261,1925,1.15,18,711,608,2,10,L34274
